activity_id,student_id,activity_name,category,level,participation,score,year
1,1,Physics,Academics,Beginner,Occasional,96,2024
2,1,Coding,Academics,Advanced,Regular,95,2023
3,1,Economics,Academics,Beginner,Regular,71,2022
4,1,Music,Extra-curricular,Beginner,Regular,57,2021
5,1,Biology,Academics,Advanced,Occasional,66,2022
6,2,Economics,Academics,Intermediate,Regular,51,2023
7,2,Physics,Academics,Intermediate,Occasional,64,2023
8,3,Biology,Academics,Beginner,Occasional,58,2023
9,3,Art,Extra-curricular,Advanced,Regular,61,2022
10,3,Music,Extra-curricular,Intermediate,Regular,79,2023
11,3,Football,Sports,Beginner,Occasional,72,2023
12,3,Cricket,Sports,Beginner,Regular,50,2024
13,4,Cricket,Sports,Beginner,Regular,64,2024
14,4,Football,Sports,Beginner,Regular,81,2021
15,4,Music,Extra-curricular,Advanced,Regular,54,2025
16,4,Mathematics,Academics,Beginner,Occasional,82,2022
17,5,Mathematics,Academics,Advanced,Occasional,64,2025
18,5,Coding,Academics,Intermediate,Regular,55,2022
19,5,Football,Sports,Intermediate,Occasional,81,2021
20,5,Athletics,Sports,Beginner,Occasional,72,2025
21,5,Music,Extra-curricular,Beginner,Regular,68,2024
22,6,Cricket,Sports,Advanced,Occasional,47,2025
23,6,Economics,Academics,Advanced,Regular,86,2022
24,6,Coding,Academics,Intermediate,Occasional,93,2021
25,7,Coding,Academics,Intermediate,Regular,81,2025
26,7,Athletics,Sports,Advanced,Occasional,89,2021
27,7,Football,Sports,Intermediate,Regular,62,2022
28,7,Physics,Academics,Intermediate,Occasional,97,2022
29,8,Cricket,Sports,Intermediate,Occasional,89,2024
30,8,Football,Sports,Beginner,Regular,63,2024
31,9,Cricket,Sports,Beginner,Occasional,47,2022
32,9,Physics,Academics,Advanced,Regular,60,2023
33,10,Cricket,Sports,Advanced,Occasional,80,2022
34,10,Football,Sports,Intermediate,Occasional,58,2024
35,10,Debate,Extra-curricular,Advanced,Occasional,70,2023
36,10,Mathematics,Academics,Advanced,Occasional,89,2025
37,11,Art,Extra-curricular,Advanced,Occasional,88,2023
38,11,Mathematics,Academics,Advanced,Regular,56,2022
39,11,Biology,Academics,Intermediate,Occasional,93,2024
40,12,Physics,Academics,Advanced,Occasional,60,2023
41,12,Music,Extra-curricular,Advanced,Regular,89,2023
42,12,Coding,Academics,Advanced,Regular,76,2024
43,13,Mathematics,Academics,Beginner,Occasional,92,2024
44,13,Athletics,Sports,Advanced,Regular,90,2022
45,13,Biology,Academics,Beginner,Occasional,81,2022
46,13,Art,Extra-curricular,Intermediate,Regular,53,2022
47,14,Cricket,Sports,Advanced,Regular,67,2023
48,14,Debate,Extra-curricular,Beginner,Occasional,59,2021
49,14,Music,Extra-curricular,Intermediate,Occasional,49,2025
50,14,Economics,Academics,Advanced,Regular,68,2025
51,15,Cricket,Sports,Intermediate,Regular,66,2022
52,15,Economics,Academics,Beginner,Regular,59,2022
53,15,Football,Sports,Intermediate,Regular,66,2025
54,15,Mathematics,Academics,Intermediate,Occasional,68,2021
55,15,Music,Extra-curricular,Beginner,Regular,82,2021
56,16,Biology,Academics,Advanced,Regular,82,2023
57,16,Music,Extra-curricular,Advanced,Occasional,86,2021
58,16,Mathematics,Academics,Intermediate,Regular,58,2021
59,16,Cricket,Sports,Advanced,Occasional,64,2022
60,16,Economics,Academics,Beginner,Occasional,74,2024
61,17,Football,Sports,Advanced,Occasional,67,2025
62,17,Debate,Extra-curricular,Intermediate,Regular,80,2024
63,17,Economics,Academics,Advanced,Occasional,78,2024
64,18,Debate,Extra-curricular,Intermediate,Regular,78,2023
65,18,Economics,Academics,Beginner,Occasional,61,2023
66,18,Art,Extra-curricular,Beginner,Occasional,70,2021
67,19,Biology,Academics,Intermediate,Occasional,62,2021
68,19,Physics,Academics,Advanced,Regular,99,2022
69,20,Music,Extra-curricular,Intermediate,Occasional,78,2023
70,20,Mathematics,Academics,Intermediate,Regular,61,2024
71,20,Coding,Academics,Intermediate,Regular,91,2021
72,20,Art,Extra-curricular,Beginner,Regular,41,2024
73,21,Football,Sports,Advanced,Regular,64,2023
74,21,Biology,Academics,Advanced,Occasional,80,2025
75,22,Mathematics,Academics,Advanced,Occasional,77,2023
76,22,Athletics,Sports,Beginner,Occasional,40,2024
77,22,Biology,Academics,Advanced,Occasional,81,2025
78,22,Debate,Extra-curricular,Beginner,Occasional,47,2021
79,23,Mathematics,Academics,Intermediate,Occasional,64,2021
80,23,Music,Extra-curricular,Beginner,Occasional,71,2023
81,23,Coding,Academics,Advanced,Regular,85,2022
82,24,Art,Extra-curricular,Intermediate,Regular,66,2021
83,24,Athletics,Sports,Beginner,Regular,52,2024
84,25,Economics,Academics,Advanced,Occasional,99,2025
85,25,Cricket,Sports,Intermediate,Regular,55,2024
86,25,Mathematics,Academics,Intermediate,Regular,75,2024
87,25,Music,Extra-curricular,Advanced,Regular,56,2025
88,26,Cricket,Sports,Intermediate,Occasional,68,2024
89,26,Football,Sports,Intermediate,Occasional,86,2022
90,26,Physics,Academics,Intermediate,Regular,69,2022
91,27,Football,Sports,Beginner,Occasional,54,2021
92,27,Music,Extra-curricular,Beginner,Occasional,81,2021
93,27,Mathematics,Academics,Beginner,Occasional,61,2021
94,28,Cricket,Sports,Beginner,Regular,56,2023
95,28,Football,Sports,Advanced,Regular,85,2023
96,29,Cricket,Sports,Intermediate,Occasional,71,2021
97,29,Music,Extra-curricular,Intermediate,Regular,87,2024
98,29,Economics,Academics,Intermediate,Regular,82,2023
99,29,Athletics,Sports,Beginner,Regular,66,2022
